file name,start offset,end offset,dish name
./Debugging_stage/Set_P/review-041.txt,1364,1393,cheese empanadas
./Debugging_stage/Set_P/review-041.txt,1404,1437,greaseless turnovers
./Debugging_stage/Set_P/review-041.txt,1536,1559,puppy dogs
./Debugging_stage/Set_P/review-041.txt,1739,1758,burger
./Debugging_stage/Set_P/review-041.txt,1916,1953,grilled chicken sandwich
./Debugging_stage/Set_P/review-041.txt,2021,2048,Chewy brownies
./Debugging_stage/Set_P/review-042.txt,250,273,rice balls
./Debugging_stage/Set_P/review-042.txt,278,300,spaghetti
./Debugging_stage/Set_P/review-042.txt,305,327,meatballs
./Debugging_stage/Set_P/review-042.txt,733,751,ducks
./Debugging_stage/Set_P/review-042.txt,756,777,chickens
./Debugging_stage/Set_P/review-042.txt,779,796,fish
./Debugging_stage/Set_P/review-042.txt,984,1012,roasted carrots
./Debugging_stage/Set_P/review-042.txt,1014,1053,olive-oil smashed potatoes
./Debugging_stage/Set_P/review-042.txt,1055,1084,simmered spinach
./Debugging_stage/Set_P/review-042.txt,1309,1337,juicy pork loin
./Debugging_stage/Set_P/review-042.txt,1357,1377,carrots
./Debugging_stage/Set_P/review-042.txt,1434,1451,fish
./Debugging_stage/Set_P/review-042.txt,1476,1518,duck fat-fried potato nuggets
./Debugging_stage/Set_P/review-043.txt,326,343,udon
./Debugging_stage/Set_P/review-043.txt,491,520,sanuki kake udon
./Debugging_stage/Set_P/review-043.txt,700,720,tempura
./Debugging_stage/Set_P/review-043.txt,802,821,Shrimp
./Debugging_stage/Set_P/review-043.txt,841,863,whole egg
./Debugging_stage/Set_P/review-043.txt,906,928,niku udon
./Debugging_stage/Set_P/review-043.txt,977,994,beef
./Debugging_stage/Set_P/review-043.txt,999,1022,curry udon
./Debugging_stage/Set_P/review-043.txt,1109,1147,Ground pork and miso udon
./Debugging_stage/Set_P/review-043.txt,1257,1282,bukkake udon
./Debugging_stage/Set_P/review-043.txt,1627,1656,pickled mackerel
./Debugging_stage/Set_P/review-044.txt,273,292,shrimp
./Debugging_stage/Set_P/review-044.txt,538,559,rib-eyes
./Debugging_stage/Set_P/review-044.txt,564,588,hash browns
./Debugging_stage/Set_P/review-044.txt,922,956,shrimp with tomatillo
./Debugging_stage/Set_P/review-044.txt,958,984,fat crab meat
./Debugging_stage/Set_P/review-044.txt,1172,1195,Soft grits
./Debugging_stage/Set_P/review-044.txt,1201,1225,Gulf shrimp
./Debugging_stage/Set_P/review-044.txt,1288,1321,red-pepper crab cake
./Debugging_stage/Set_P/review-044.txt,1361,1386,baby spinach
./Debugging_stage/Set_P/review-044.txt,1388,1415,toasted pecans
./Debugging_stage/Set_P/review-044.txt,1422,1459,spicy orange vinaigrette
./Debugging_stage/Set_P/review-044.txt,1467,1490,Lamb chops
./Debugging_stage/Set_P/review-044.txt,1556,1591,corn-and-collards tart
./Debugging_stage/Set_P/review-044.txt,1617,1637,rib-eye
./Debugging_stage/Set_P/review-044.txt,1750,1775,French fries
./Debugging_stage/Set_P/review-044.txt,1796,1820,cauliflower
./Debugging_stage/Set_P/review-044.txt,1825,1849,goat-cheese
./Debugging_stage/Set_P/review-045.txt,887,909,dumplings
./Debugging_stage/Set_P/review-045.txt,979,1004,Duck lo mein
./Debugging_stage/Set_P/review-045.txt,1379,1401,Cantonese
./Debugging_stage/Set_P/review-045.txt,1508,1525,pork
./Debugging_stage/Set_P/review-045.txt,1531,1680,"lobster<dish> is sweeter than you might imagine. So is the sauce. Shower it with hot sauce and soy.
Do the same with <dish>egg foo young"
./Debugging_stage/Set_P/review-045.txt,1788,1817,black bean sauce
./Debugging_stage/Set_P/review-045.txt,1842,1865,white rice
./Debugging_stage/Set_P/review-046.txt,350,372,rillettes
./Debugging_stage/Set_P/review-046.txt,374,406,braised meat dishes
./Debugging_stage/Set_P/review-046.txt,638,667,brisket sandwich
./Debugging_stage/Set_P/review-046.txt,968,995,plateau de mer
./Debugging_stage/Set_P/review-046.txt,1097,1124,king crab legs
./Debugging_stage/Set_P/review-046.txt,1139,1159,oysters
./Debugging_stage/Set_P/review-046.txt,1161,1199,shrimp and cocktail sauce
./Debugging_stage/Set_P/review-046.txt,1201,1225,briny clams
./Debugging_stage/Set_P/review-046.txt,1306,1328,shellfish
./Debugging_stage/Set_P/review-046.txt,1504,1523,Caesar
./Debugging_stage/Set_P/review-046.txt,1540,1593,hot-smoked trout with cauliflower purée
./Debugging_stage/Set_P/review-046.txt,1610,1641,gummy clam chowder
./Debugging_stage/Set_P/review-046.txt,1662,1688,chicken liver
./Debugging_stage/Set_P/review-046.txt,1693,1722,foie gras pâté
./Debugging_stage/Set_P/review-046.txt,1768,1793,braised lamb
./Debugging_stage/Set_P/review-046.txt,1805,1829,pork gratin
./Debugging_stage/Set_P/review-046.txt,1873,1921,roasted monkfish with romesco sauce
./Debugging_stage/Set_P/review-047.txt,930,967,tuna tartare with olives
./Debugging_stage/Set_P/review-047.txt,1052,1070,bread
./Debugging_stage/Set_P/review-047.txt,1203,1240,roasted veal sweetbreads
./Debugging_stage/Set_P/review-047.txt,1314,1358,"frisée 
 with lardons of bacon"
./Debugging_stage/Set_P/review-047.txt,1365,1394,poached duck egg
./Debugging_stage/Set_P/review-047.txt,1473,1501,steak au poivre
./Debugging_stage/Set_P/review-047.txt,1523,1548,golden fries
./Debugging_stage/Set_P/review-047.txt,1594,1616,foie gras
./Debugging_stage/Set_P/review-047.txt,1696,1721,rack of lamb
./Debugging_stage/Set_P/review-048.txt,128,164,Roman square-cut pizzas
./Debugging_stage/Set_P/review-048.txt,737,755,tripe
./Debugging_stage/Set_P/review-048.txt,815,846,Crunchy bruschetta
./Debugging_stage/Set_P/review-048.txt,897,926,antipasto Romano
./Debugging_stage/Set_P/review-048.txt,977,1007,salumi e formaggi
./Debugging_stage/Set_P/review-048.txt,1035,1065,gran bu di bufala
./Debugging_stage/Set_P/review-048.txt,1392,1416,farro salad
./Debugging_stage/Set_P/review-048.txt,1459,1486,creamy burrata
./Debugging_stage/Set_P/review-048.txt,1591,1635,gnocchi with musky oxtail ragù
./Debugging_stage/Set_P/review-048.txt,1643,1705,pappardelle fragrant with beef stewed in red wine
./Debugging_stage/Set_P/review-048.txt,1739,1780,roast duck over oozy orzotto
./Debugging_stage/Set_P/review-048.txt,1833,1877,"matriciana, speckled with bacon"
./Debugging_stage/Set_P/review-049.txt,711,731,oysters
./Debugging_stage/Set_P/review-049.txt,1381,1423,pan-roasted squid and sausage
./Debugging_stage/Set_P/review-049.txt,1431,1465,Shrimp “cocktail”
./Debugging_stage/Set_P/review-049.txt,1644,1675,oysters Kilpatrick
./Debugging_stage/Set_P/review-049.txt,1900,1958,"Mushy pea fritters, served with minted yogurt"
./Debugging_stage/Set_P/review-050.txt,539,565,veal spiedini
./Debugging_stage/Set_P/review-050.txt,665,695,Green lentil soup
./Debugging_stage/Set_P/review-050.txt,794,851,heirloom carrots are enriched with hazelnuts
./Debugging_stage/Set_P/review-050.txt,871,898,branzino crudo
./Debugging_stage/Set_P/review-050.txt,974,992,pasta
./Debugging_stage/Set_P/review-050.txt,1012,1033,rigatoni
./Debugging_stage/Set_P/review-050.txt,1148,1172,meaty fluke
./Debugging_stage/Set_P/review-050.txt,1257,1285,Bone-in chicken
./Debugging_stage/Set_P/review-050.txt,1338,1358,polenta
./Debugging_stage/Set_P/review-050.txt,1382,1405,sandwiches
./Debugging_stage/Set_P/review-050.txt,1413,1436,Fried eggs
./Debugging_stage/Set_P/review-050.txt,1536,1560,sesame roll
./Debugging_stage/Set_P/review-050.txt,1732,1751,Salads
./Debugging_stage/Set_P/review-050.txt,1951,1986,dark chocolate pudding
./Debugging_stage/Set_P/review-051.txt,229,283,lamb and beef meatballs with sesame cream
./Debugging_stage/Set_P/review-051.txt,291,330,cured tongue with couscous
./Debugging_stage/Set_P/review-051.txt,341,388,roasted leaves of brussels sprouts
./Debugging_stage/Set_P/review-051.txt,394,438,herb-marinated butternut squash
./Debugging_stage/Set_P/review-051.txt,1295,1383,"tiny beet cubes, pickled 
, frisée, earthy chestnut cream and spicy cheese"
./Debugging_stage/Set_P/review-051.txt,1561,1589,Zucchini slices
./Debugging_stage/Set_P/review-051.txt,1688,1720,vegetable antipasti
./Debugging_stage/Set_P/review-051.txt,1764,1807,melted red cabbage and turnips
./Debugging_stage/Set_P/review-051.txt,1863,1886,roast pork
./Debugging_stage/Set_P/review-051.txt,2054,2074,cannoli
./Debugging_stage/Set_P/review-051.txt,2189,2212,cheesecake
./Debugging_stage/Set_P/review-051.txt,2326,2354,rosemary gelato
./Debugging_stage/Set_P/review-052.txt,264,296,cabbage and sausage
./Debugging_stage/Set_P/review-052.txt,1165,1201,cured meats and cheeses
./Debugging_stage/Set_P/review-052.txt,1259,1288,roasted sausages
./Debugging_stage/Set_P/review-052.txt,1444,1470,pork shoulder
./Debugging_stage/Set_P/review-052.txt,1580,1608,fried shiitakes
./Debugging_stage/Set_P/review-052.txt,1736,1766,Tyrolean niçoise
./Debugging_stage/Set_P/review-052.txt,1774,1798,Skirt steak
./Debugging_stage/Set_P/review-052.txt,1809,1841,roasted fish fillet
./Debugging_stage/Set_P/review-053.txt,536,554,Tacos
./Debugging_stage/Set_P/review-053.txt,593,620,braised tongue
./Debugging_stage/Set_P/review-053.txt,727,763,smoky red morita pepper
./Debugging_stage/Set_P/review-053.txt,768,803,creamy green tomatillo
./Debugging_stage/Set_P/review-053.txt,845,867,guacamole
./Debugging_stage/Set_P/review-053.txt,1106,1128,pork chop
./Debugging_stage/Set_P/review-053.txt,1205,1238,herb-roasted chicken
./Debugging_stage/Set_P/review-053.txt,1321,1352,Pan-seared tilapia
./Debugging_stage/Set_P/review-053.txt,1461,1492,Seafood enchiladas
./Debugging_stage/Set_P/review-053.txt,1568,1610,tortilla chips in chilaquiles
./Debugging_stage/Set_P/review-053.txt,1988,2008,churros
./Debugging_stage/Set_P/review-054.txt,779,800,crostini
./Debugging_stage/Set_P/review-054.txt,1437,1460,pork aspic
./Debugging_stage/Set_P/review-054.txt,2075,2118,penne with roasted cauliflower
./Debugging_stage/Set_P/review-054.txt,2148,2172,pasta rings
./Debugging_stage/Set_P/review-054.txt,2296,2330,una marea di formaggi
./Debugging_stage/Set_P/review-054.txt,2490,2513,spaghettis
./Debugging_stage/Set_P/review-054.txt,2710,2733,clam pasta
./Debugging_stage/Set_P/review-054.txt,2785,2805,lasagna
./Debugging_stage/Set_P/review-054.txt,2816,2845,plump maccheroni
./Debugging_stage/Set_P/review-054.txt,2998,3047,wine-braised beef shank with polenta
./Debugging_stage/Set_P/review-054.txt,3062,3084,pork chop
./Debugging_stage/Set_P/review-054.txt,3169,3202,lemon olive oil cake
./Debugging_stage/Set_P/review-054.txt,3204,3238,chocolate-walnut cake
./Debugging_stage/Set_P/review-054.txt,3243,3267,panna cotta
./Debugging_stage/Set_P/review-055.txt,1275,1303,cochinita pibil
./Debugging_stage/Set_P/review-055.txt,1463,1486,quesadilla
./Debugging_stage/Set_P/review-055.txt,1655,1676,guisados
./Debugging_stage/Set_P/review-055.txt,1956,1992,crab-and-mango tostadas
./Debugging_stage/Set_P/review-056.txt,980,998,pasta
./Debugging_stage/Set_P/review-056.txt,1543,1577,sautéed bay scallops
./Debugging_stage/Set_P/review-056.txt,1659,1689,fresh tagliatelle
./Debugging_stage/Set_P/review-057.txt,806,836,one-pound lobster
./Debugging_stage/Set_P/review-057.txt,860,893,roasted garlic aioli
./Debugging_stage/Set_P/review-057.txt,917,941,fluke crudo
./Debugging_stage/Set_P/review-057.txt,1136,1163,pain au levain
./Debugging_stage/Set_P/review-057.txt,1373,1405,Gruyère-and-surimi
./Debugging_stage/Set_P/review-057.txt,1536,1571,Sweet littleneck clams
./Debugging_stage/Set_P/review-057.txt,1692,1712,brisket
./Debugging_stage/Set_P/review-057.txt,1760,1794,fried oyster sandwich
./Debugging_stage/Set_P/review-058.txt,81,101,Churros
./Debugging_stage/Set_P/review-058.txt,1056,1076,bikinis
./Debugging_stage/Set_P/review-058.txt,1266,1286,bocatas
./Debugging_stage/Set_P/review-058.txt,1340,1375,crunchy calamari loops
./Debugging_stage/Set_P/review-059.txt,468,486,pizza
./Debugging_stage/Set_P/review-059.txt,519,547,sausage sliders
./Debugging_stage/Set_P/review-059.txt,566,600,jicama and corn-shoot
./Debugging_stage/Set_P/review-059.txt,742,771,fresh kale salad
./Debugging_stage/Set_P/review-059.txt,819,849,wood-fired pizzas
./Debugging_stage/Set_P/review-059.txt,871,908,San Marzano tomato sauce
./Debugging_stage/Set_P/review-059.txt,923,947,orecchiette
./Debugging_stage/Set_P/review-059.txt,1021,1043,crab meat
./Debugging_stage/Set_P/review-059.txt,1080,1110,Dixie-fied Cubano
./Debugging_stage/Set_P/review-059.txt,1196,1215,burger
./Debugging_stage/Set_P/review-059.txt,1718,1759,hot lemon-blueberry zeppoles
./Debugging_stage/Set_P/review-059.txt,1806,1829,lemon curd
./Debugging_stage/Set_P/review-059.txt,1845,1877,beer-salted caramel
./Debugging_stage/Set_P/review-059.txt,1952,1978,Evil Twin Yin
./Debugging_stage/Set_P/review-059.txt,2009,2036,imperial stout
./Debugging_stage/Set_P/review-060.txt,905,937,frisée aux lardons
./Debugging_stage/Set_P/review-060.txt,1018,1050,metallic onion soup
./Debugging_stage/Set_P/review-060.txt,1072,1090,toast
./Debugging_stage/Set_P/review-060.txt,1151,1183,Ça Va steak frites
./Debugging_stage/Set_P/review-060.txt,1335,1361,crispy rabbit
./Debugging_stage/Set_P/review-061.txt,94,112,steak
./Debugging_stage/Set_P/review-061.txt,621,650,veal sweetbreads
./Debugging_stage/Set_P/review-061.txt,812,849,24-ounce bone-in rib-eye
./Debugging_stage/Set_P/review-061.txt,1150,1168,wagyu
./Debugging_stage/Set_P/review-061.txt,1248,1283,bone-in New York strip
./Debugging_stage/Set_P/review-061.txt,1492,1514,veal chop
./Debugging_stage/Set_P/review-061.txt,1595,1614,burger
./Debugging_stage/Set_P/review-061.txt,1683,1727,grapefruit and honey cheesecake
./Debugging_stage/Set_P/review-062.txt,724,750,frisée salad
./Debugging_stage/Set_P/review-062.txt,820,856,skillet-roasted chicken
./Debugging_stage/Set_P/review-062.txt,958,976,skate
./Debugging_stage/Set_P/review-063.txt,206,240,Speedy Romeo’s pies
./Debugging_stage/Set_P/review-063.txt,557,575,pizza
./Debugging_stage/Set_P/review-064.txt,1155,1179,smoked fish
./Debugging_stage/Set_P/review-064.txt,1280,1310,filet of sturgeon
./Debugging_stage/Set_P/review-064.txt,1848,1868,pelmeni
./Debugging_stage/Set_P/review-065.txt,184,213,bangers and mash
./Debugging_stage/Set_P/review-065.txt,234,266,Victoria spongecake
./Debugging_stage/Set_P/review-065.txt,345,366,crumpets
./Debugging_stage/Set_P/review-065.txt,371,392,kedgeree
./Debugging_stage/Set_P/review-065.txt,404,429,parsnip soup
./Debugging_stage/Set_P/review-065.txt,439,461,meat pies
./Debugging_stage/Set_P/review-065.txt,1134,1157,sandwiches
./Debugging_stage/Set_P/review-065.txt,1405,1438,steak and kidney pie
./Debugging_stage/Set_P/review-065.txt,1555,1578,Scotch egg
./Debugging_stage/Set_P/review-065.txt,1843,1879,chocolate-sea salt tart
./Debugging_stage/Set_P/review-065.txt,1944,1971,toffee pudding
./Debugging_stage/Set_P/review-066.txt,687,716,oxtail marmalade
./Debugging_stage/Set_P/review-066.txt,721,747,rabbit confit
./Debugging_stage/Set_P/review-066.txt,1000,1037,anchovies piled on toast
./Debugging_stage/Set_P/review-066.txt,1145,1165,lentils
./Debugging_stage/Set_P/review-066.txt,1170,1187,kale
./Debugging_stage/Set_P/review-066.txt,1414,1466,"potpie of chicken, rabbit and mushrooms"
./Debugging_stage/Set_P/review-066.txt,1474,1512,"blue 
 in a pool of honey"
./Debugging_stage/Set_P/review-066.txt,1519,1586,oily-soft bread with crisp shreds of bittersweet onion
./Debugging_stage/Set_P/review-066.txt,1612,1632,mussels
./Debugging_stage/Set_P/review-066.txt,1792,1811,omelet
./Debugging_stage/Set_P/review-066.txt,1829,1865,horseradish cream sauce
./Debugging_stage/Set_P/review-066.txt,1883,1912,chocolate mousse
./Debugging_stage/Set_P/review-067.txt,117,137,falafel
./Debugging_stage/Set_P/review-067.txt,402,428,chickpea orbs
./Debugging_stage/Set_P/review-067.txt,1208,1240,eggplant à la Yafa
./Debugging_stage/Set_P/review-068.txt,334,353,bo zai
./Debugging_stage/Set_P/review-068.txt,805,833,Chinese sausage
./Debugging_stage/Set_P/review-068.txt,835,859,minced pork
./Debugging_stage/Set_P/review-068.txt,864,888,fatty bacon
./Debugging_stage/Set_P/review-068.txt,925,972,Chinese sausage and preserved duck
./Debugging_stage/Set_P/review-068.txt,1344,1385,silver fish with pepper salt
./Debugging_stage/Set_P/review-068.txt,1472,1490,salad
./Debugging_stage/Set_P/review-068.txt,1500,1532,sautéed pea shoots
./Debugging_stage/Set_P/review-068.txt,1580,1603,crispy pig
./Debugging_stage/Set_P/review-068.txt,1632,1675,Milk and egg-white ginger flan
./Debugging_stage/Set_P/review-068.txt,1736,1779,black-sesame-filled rice balls
./Debugging_stage/Set_P/review-069.txt,994,1023,Roman lamb chops
./Debugging_stage/Set_P/review-069.txt,1031,1067,tortellini from Bologna
./Debugging_stage/Set_P/review-069.txt,1078,1112,Piedmontese bean stew
./Debugging_stage/Set_P/review-069.txt,1180,1199,Salumi
./Debugging_stage/Set_P/review-069.txt,1371,1399,vitello tonnato
./Debugging_stage/Set_P/review-069.txt,1499,1563,tortelloni stuffed with smoked and fresh mozzarella
./Debugging_stage/Set_P/review-069.txt,1700,1730,thin-crust pizzas
./Debugging_stage/Set_P/review-069.txt,1828,1850,Tiramisù
./Debugging_stage/Set_P/review-069.txt,1852,1875,ice creams
./Debugging_stage/Set_P/review-069.txt,1877,1897,sorbets
./Debugging_stage/Set_P/review-069.txt,1936,1960,bongo-bongo
./Debugging_stage/Set_P/review-069.txt,2005,2031,pine nut tart
./Debugging_stage/Set_P/review-070.txt,64,85,Pastrami
./Debugging_stage/Set_P/review-070.txt,370,398,deli sandwiches
./Debugging_stage/Set_P/review-070.txt,670,698,beef sandwiches
./Debugging_stage/Set_P/review-070.txt,981,1002,sandwich
./Debugging_stage/Set_P/review-070.txt,1129,1149,brisket
./Debugging_stage/Set_P/review-070.txt,1601,1624,wallflower
./Debugging_stage/Set_P/review-071.txt,1023,1045,crab meat
./Debugging_stage/Set_P/review-071.txt,1050,1073,sea urchin
./Debugging_stage/Set_P/review-071.txt,1080,1101,eggplant
./Debugging_stage/Set_P/review-071.txt,1106,1128,chickpeas
./Debugging_stage/Set_P/review-071.txt,1258,1286,smoked eggplant
./Debugging_stage/Set_P/review-071.txt,1351,1373,flatbread
./Debugging_stage/Set_P/review-071.txt,1380,1417,whole fried grape leaves
./Debugging_stage/Set_P/review-071.txt,1425,1454,chili-walnut dip
./Debugging_stage/Set_P/review-071.txt,1465,1489,fried squid
./Debugging_stage/Set_P/review-071.txt,1627,1660,sesame-studded pitas
./Debugging_stage/Set_P/review-071.txt,1841,1865,adana kebab
./Debugging_stage/Set_P/review-071.txt,1867,1891,lamb ground
./Debugging_stage/Set_P/review-071.txt,1985,2017,crisp phyllo shreds
./Debugging_stage/Set_P/review-072.txt,180,213,raw and tempura kale
./Debugging_stage/Set_P/review-072.txt,756,781,mizuna salad
./Debugging_stage/Set_P/review-072.txt,894,923,Brussels sprouts
./Debugging_stage/Set_P/review-072.txt,995,1020,pork banh mi
./Debugging_stage/Set_P/review-072.txt,1114,1148,fried-eggplant slider
./Debugging_stage/Set_P/review-072.txt,1184,1210,Chicken wings
./Debugging_stage/Set_P/review-072.txt,1356,1374,ramen
./Debugging_stage/Set_P/review-073.txt,57,100,horseradish and bacon sandwich
./Debugging_stage/Set_P/review-073.txt,351,399,Spanish peanuts and pickled carrots
./Debugging_stage/Set_P/review-073.txt,406,449,Crisp toast and melted Cheddar
./Debugging_stage/Set_P/review-073.txt,464,495,rotisserie chicken
./Debugging_stage/Set_P/review-073.txt,1063,1097,chopped liver stuffed
./Debugging_stage/Set_P/review-073.txt,1127,1170,chocolate-covered marshmallows
./Debugging_stage/Set_P/review-073.txt,1175,1196,pretzels
./Debugging_stage/Set_P/review-073.txt,1220,1241,hot dogs
./Debugging_stage/Set_P/review-073.txt,1278,1315,hard-boiled-egg sandwich
./Debugging_stage/Set_P/review-073.txt,1428,1459,polenta with ramps
./Debugging_stage/Set_P/review-073.txt,1466,1504,sautéed soft-shell crabs
./Debugging_stage/Set_P/review-073.txt,1515,1538,whole fish
./Debugging_stage/Set_P/review-073.txt,1639,1664,bracing kale
./Debugging_stage/Set_P/review-073.txt,2096,2114,bread
./Debugging_stage/Set_P/review-073.txt,2116,2135,pastry
./Debugging_stage/Set_P/review-073.txt,2159,2178,babkas
./Debugging_stage/Set_P/review-073.txt,2184,2217,fresh cake doughnuts
./Debugging_stage/Set_P/review-074.txt,990,1007,pies
./Debugging_stage/Set_P/review-074.txt,1012,1033,calzones
./Debugging_stage/Set_P/review-074.txt,1295,1329,wide and bubbling pie
